-8.642647 41.12658
-8.654710 41.16372
-8.625576 41.17692
-8.685587 41.17437
-8.613826 41.13968
-8.652569 41.20813
-8.669658 41.23677
-8.595648 41.15070
-8.537155 41.14181
-8.693225 41.20013
-8.620704 41.23867
-8.585846 41.18776
-8.584847 41.16648
-8.618693 41.00124
-8.595671 41.11683
-8.599010 41.81463
-8.635436 41.07310
-8.533117 41.05512
-8.604143 41.14531
-8.549778 40.65385
-8.666489 41.18148
-8.596710 41.16422
-8.620673 41.12212
-8.608795 41.16324
-8.671827 41.15554
-8.621427 41.14840
-8.703362 41.56040
-8.726305 41.35214
-8.608802 41.15368
-8.624758 41.16442
-8.637591 41.14910
-8.552723 41.21519
-8.604994 41.17799
-8.561630 41.17106
-7.878293 40.66212
-8.628234 41.15516
-8.581669 41.14797
-8.309820 41.19397
-8.611495 41.14691
-8.640108 41.16343
-8.651447 41.17799
-8.470574 41.20221
-8.090001 41.29199
-8.623085 41.20281
-7.554457 41.54583
-8.508256 41.36687
-8.651098 41.15293
-8.532341 40.88382
-8.374236 41.50726
-7.796144 41.22174
